,County,County Precinct,aapi_mail_turnout_share,aapi_adv_turnout_share,aapi_mail_support_share,aapi_adv_support_share,black_mail_turnout_share,black_adv_turnout_share,black_mail_support_share,black_adv_support_share,hispanic_mail_turnout_share,hispanic_adv_turnout_share,hispanic_mail_support_share,hispanic_adv_support_share,native_american_mail_turnout_share,native_american_adv_turnout_share,native_american_mail_support_share,native_american_adv_support_share,other_mail_turnout_share,other_adv_turnout_share,other_mail_support_share,other_adv_support_share,white_mail_turnout_share,white_adv_turnout_share,white_mail_support_share,white_adv_support_share
1032,Effingham,1D,0.00829909785695242,0.00431880401857646,0.62,0.62,0.0411087618345827,0.0356154917037657,0.89,0.89,0.014539580768550333,0.014558051251625636,0.62,0.62,0.002238453983257313,0.002094949908625161,0.62,0.62,0.08489351169314412,0.08475684618688227,0.5,0.5,0.8489205938635132,0.8586558569305249,0.5430121295100631,0.1085340281215974
1033,Effingham,2A,0.011892497805013506,0.006270894659104068,0.62,0.62,0.1171068886568282,0.10280418748368184,0.89,0.89,0.02389900217395654,0.024246828605083242,0.62,0.62,0.002886907539497104,0.0027376767093211284,0.62,0.62,0.09690153916251254,0.09802904658200239,0.5,0.5,0.747313164662192,0.7659113659608074,0.45075748199685467,0.20583151190556037
1034,Effingham,2B,0.020492299628844707,0.010782081229583866,0.62,0.62,0.07527596615506693,0.06593866912325008,0.89,0.89,0.010650270826389516,0.010781800757842807,0.62,0.62,0.0014294575016885551,0.0013526206434866846,0.62,0.62,0.09253473322527427,0.09340806107733263,0.5,0.5,0.7996172726627361,0.8177367671685037,0.39788443831685427,0.17353204437117728
1035,Effingham,2C,0.011624948402553213,0.006134827420447689,0.62,0.62,0.12452002189179269,0.10940128958913639,0.89,0.89,0.014717023607340387,0.014943421653319893,0.62,0.62,0.0022299969991069033,0.0021164521580010792,0.62,0.62,0.09729846479223989,0.09851105767468922,0.5,0.5,0.749609544306967,0.7688929515044057,0.48005040371295177,0.17808943578107517
1036,Effingham,2D,0.019557410498142802,0.010354352752026223,0.62,0.62,0.11918674171518318,0.10505373298312755,0.89,0.89,0.01409883043150687,0.014361950997537447,0.62,0.62,0.0032335195167734294,0.0030787891873419572,0.62,0.62,0.09601568840922257,0.09752624048392454,0.5,0.5,0.7479078094291711,0.7696249335960423,0.6425638891700166,0.15726899952092385
1037,Effingham,3A,0.0032391520480356283,0.001702305996897848,0.62,0.62,0.1261354814043055,0.11036096783392067,0.89,0.89,0.004068347494520063,0.004113799145097242,0.62,0.62,0.0032762715279170216,0.003096556746943477,0.62,0.62,0.082478157706632,0.08315970195359797,0.5,0.5,0.78080258981859,0.7975666683235428,0.6324064045356685,0.08195535718241008
1038,Effingham,3B,0.0044920422423182565,0.002391239161755021,0.62,0.62,0.21089194798019897,0.18690078188693432,0.89,0.89,0.0027004286257550905,0.002765862807292054,0.62,0.62,0.002271759689334898,0.0021748756608334706,0.62,0.62,0.06734081639786108,0.06877415104832547,0.5,0.5,0.7123030050645318,0.7369930894348596,0.5145534029017528,0.06068632543113267
1039,Effingham,3C,0.003132022167467357,0.0016703945915434745,0.62,0.62,0.22640396884073488,0.20102506933360845,0.89,0.89,0.0048415917209992995,0.004968223903477177,0.62,0.62,0.001979946236681993,0.0018990679598467294,0.62,0.62,0.08648249184854914,0.08848916978385223,0.5,0.5,0.6771599791855675,0.7019480744276722,0.34402355341790675,0.02799495338448174
1040,Effingham,3D,0.007515906655665956,0.003994361397581978,0.62,0.62,0.1865542766421891,0.16506048792135658,0.89,0.89,0.009373901610259505,0.009585286921325268,0.62,0.62,0.0044921122737249216,0.004293479973993251,0.62,0.62,0.082922359035106,0.08454838277688988,0.5,0.5,0.7091414437830544,0.7325180010088531,0.7263681803621554,0.11393790314717313
1041,Effingham,3E,0.010036013134696714,0.005246819997960817,0.62,0.62,0.06615615137759912,0.05758072294747998,0.89,0.89,0.009167379899209904,0.009221443751293945,0.62,0.62,0.0036912807706121703,0.003470602581394874,0.62,0.62,0.08930528049054026,0.0895735447056064,0.5,0.5,0.8216438943273419,0.8349068660162641,0.5521884381187674,0.14289904213377552
1042,Effingham,4A,0.0029206677991650025,0.0015371655878019576,0.62,0.62,0.1367415595984752,0.11981493506878357,0.89,0.89,0.012415899623426985,0.012572899153800951,0.62,0.62,0.0032495513245766063,0.0030757763462190475,0.62,0.62,0.08054991845110893,0.08133383942159143,0.5,0.5,0.7641224032032472,0.7816653844218031,0.5438170026909154,0.10919732322808459
1043,Effingham,4B,0.008377682574275009,0.004489887525258352,0.62,0.62,0.23957192265974434,0.21375654230852933,0.89,0.89,0.013849862647509856,0.014281564162443004,0.62,0.62,0.0025891823546789886,0.0024955545086360357,0.62,0.62,0.09573233958023739,0.09843236304265406,0.5,0.5,0.6398790101835544,0.6665440884524791,0.6951938042592324,0.26178407909884677
1044,Effingham,4C,0.006108699556138164,0.0031992965060843466,0.62,0.62,0.091792092438802,0.08003554981597394,0.89,0.89,0.013995943082344826,0.014103491526510145,0.62,0.62,0.002868683528794178,0.002701974380481964,0.62,0.62,0.08830576234532668,0.0887283587145477,0.5,0.5,0.7969288190485941,0.811231329056402,0.57031855049525,0.14457558932634873
1045,Effingham,5A,0.003502387099377901,0.0018413722518828026,0.62,0.62,0.12603955906221104,0.1103205102551371,0.89,0.89,0.013941346278631753,0.01410265600388321,0.62,0.62,0.0026568923664129626,0.0025121425057802148,0.62,0.62,0.099372982440941,0.10023362845657048,0.5,0.5,0.7544868327524255,0.7709896905267463,0.431652215936664,0.17507160232396946
1046,Effingham,5B,0.00802617075975929,0.004245597691681455,0.62,0.62,0.15184240574229813,0.1337197192431175,0.89,0.89,0.017369997960927627,0.01767864435170167,0.62,0.62,0.0027060492322722287,0.0025742990588338136,0.62,0.62,0.10121154557945443,0.10271365370616542,0.5,0.5,0.7188438307252883,0.7390680859485,0.3974715893011144,0.12135695478520948
1047,Effingham,5C,0.024128944773132273,0.012988976488381493,0.62,0.62,0.2148637791787171,0.1925625144795869,0.89,0.89,0.013905472311087515,0.01440260646498519,0.62,0.62,0.0034253268100996677,0.003316129454556287,0.62,0.62,0.10190881343533675,0.10524852646512402,0.5,0.5,0.6417676634916267,0.6714812466473661,0.8346996080415838,0.2485332182173645
1048,Effingham,5D,0.022388710305258748,0.011917815464451304,0.62,0.62,0.14697625611683912,0.13025268875838744,0.89,0.89,0.013459159763123004,0.013784920832888632,0.62,0.62,0.003459695038124077,0.003312060485712542,0.62,0.62,0.08719856232971743,0.08905218548676228,0.5,0.5,0.7265176164469376,0.7516803289717977,0.857033219646875,0.14847153237615024
