county_code,county_precinct_id,race,registered_voters
14,1650,black,338
14,1650,hispanic,51
14,1650,native_american,7
14,1650,other,190
14,1650,white,1865
14,1712,aapi,2
14,1712,black,133
14,1712,hispanic,13
14,1712,other,35
14,1712,white,443
14,659,black,85
14,659,hispanic,13
14,659,native_american,2
14,659,other,63
14,659,white,609
14,660,aapi,5
14,660,black,436
14,660,hispanic,46
14,660,native_american,5
14,660,other,154
14,660,white,1388
15,1,aapi,24
15,1,black,664
15,1,hispanic,38
15,1,native_american,13
15,1,other,320
15,1,white,1807
15,10,aapi,33
15,10,black,219
15,10,hispanic,69
15,10,native_american,7
15,10,other,260
15,10,white,1839
15,2,aapi,22
15,2,black,334
15,2,hispanic,57
15,2,native_american,22
15,2,other,412
15,2,white,3070
15,3,aapi,5
15,3,black,303
15,3,hispanic,23
15,3,native_american,9
15,3,other,193
15,3,white,1255
15,4,aapi,179
15,4,black,885
15,4,hispanic,295
15,4,native_american,37
15,4,other,682
15,4,white,2827
15,5,aapi,96
15,5,black,671
15,5,hispanic,284
15,5,native_american,39
15,5,other,574
15,5,white,2190
15,6,aapi,30
15,6,black,167
15,6,hispanic,87
15,6,native_american,10
15,6,other,326
15,6,white,2545
15,7,aapi,64
15,7,black,369
15,7,hispanic,157
15,7,native_american,21
15,7,other,577
15,7,white,3501
15,8,aapi,45
15,8,black,163
15,8,hispanic,64
15,8,native_american,13
15,8,other,341
15,8,white,2478
15,9,aapi,117
15,9,black,783
15,9,hispanic,289
15,9,native_american,40
15,9,other,675
15,9,white,2774
16,1,aapi,2
16,1,black,131
16,1,hispanic,2
16,1,native_american,3
16,1,other,76
16,1,white,556
16,10,aapi,21
16,10,black,626
16,10,hispanic,56
16,10,native_american,8
16,10,other,426
16,10,white,2643
16,11,aapi,53
16,11,black,2748
16,11,hispanic,127
16,11,native_american,25
16,11,other,801
16,11,white,3394
16,12,aapi,2
16,12,black,419
16,12,hispanic,18
16,12,native_american,5
16,12,other,221
16,12,white,1246
16,13,aapi,122
16,13,black,1363
16,13,hispanic,160
16,13,native_american,28
16,13,other,820
16,13,white,4514
16,14,aapi,55
16,14,black,2348
16,14,hispanic,100
16,14,native_american,26
16,14,other,722
16,14,white,3179
16,15,aapi,66
16,15,black,2192
16,15,hispanic,183
16,15,native_american,59
16,15,other,776
16,15,white,2845
16,16,aapi,2
16,16,black,52
16,16,hispanic,12
16,16,native_american,2
16,16,other,114
16,16,white,937
16,2,aapi,13
16,2,black,253
16,2,hispanic,19
16,2,native_american,6
16,2,other,201
16,2,white,1625
16,3,aapi,12
16,3,black,673
16,3,hispanic,35
16,3,native_american,8
16,3,other,300
16,3,white,1629
16,4,aapi,58
16,4,black,373
16,4,hispanic,60
16,4,native_american,14
16,4,other,448
16,4,white,2828
16,5,aapi,7
16,5,black,146
16,5,hispanic,23
16,5,native_american,14
16,5,other,274
16,5,white,1928
16,6,aapi,10
16,6,black,94
16,6,hispanic,18
16,6,native_american,8
16,6,other,185
16,6,white,1447
16,7,aapi,2
16,7,black,169
16,7,hispanic,23
16,7,native_american,8
16,7,other,175
16,7,white,1057
16,8,aapi,1
16,8,black,35
16,8,hispanic,2
16,8,native_american,3
16,8,other,52
16,8,white,428
16,9,aapi,7
16,9,black,317
16,9,hispanic,16
16,9,native_american,5
16,9,other,123
16,9,white,614
17,1,black,151
17,1,hispanic,3
17,1,native_american,1
17,1,other,32
17,1,white,206
17,10,aapi,1
17,10,black,169
17,10,hispanic,2
17,10,native_american,3
17,10,other,18
17,10,white,89
17,11,aapi,5
17,11,black,406
17,11,hispanic,24
17,11,native_american,6
17,11,other,145
17,11,white,615
17,12,aapi,2
17,12,black,184
17,12,hispanic,5
17,12,native_american,2
17,12,other,46
17,12,white,252
17,13,black,136
17,13,other,26
17,13,white,150
17,14,aapi,6
17,14,black,2076
17,14,hispanic,13
17,14,native_american,10
17,14,other,226
17,14,white,745
17,15,aapi,14
17,15,black,1328
17,15,hispanic,27
17,15,native_american,10
17,15,other,253
17,15,white,1777
17,16,aapi,2
17,16,black,407
17,16,hispanic,4
17,16,native_american,4
17,16,other,53
17,16,white,232
17,2,aapi,14
