County,Precinct,Race,Party,Index,Baseline,Perdue,Ossoff
BURKE,2,1.800461,3.633299,3.61711,30.69307,65.68982,34.31018
BURKE,3,3.44174,2.805587,4.844534,40.29851,54.85696,45.14304
BURKE,4,4.183538,2.550954,5.459015,39.60396,54.93702,45.06298
BURKE,5,2.838622,3.346887,4.512065,29.48718,66.00076,33.99924
BURKE,6,4.459548,3.442331,6.180714,22.64151,71.17778,28.82222
BURKE,7,3.069964,2.77347,4.456699,53.33333,42.20997,57.79003
BURKE,8,3.188815,2.698403,4.538017,36,59.46198,40.53802
BURKE,9,3.023301,3.405587,4.726094,36.26943,59.00448,40.99552
BURKE,10,2.278653,2.273853,3.415579,66.66667,29.91775,70.08225
BURKE,11,2.51269,3.095158,4.060269,42.32082,53.61891,46.38109
BURKE,12,3.681416,3.213046,5.287939,32.5,62.21206,37.78794
BURKE,13,3.233676,2.700252,4.583802,42.5,52.9162,47.0838
BURKE,14,3.446577,1.483536,4.188345,58.98058,36.83107,63.16893
BURKE,15,3.43034,3.279744,5.070212,32.37675,62.55304,37.44696
BURKE,16,4.341804,2.285902,5.484755,44.28571,50.22953,49.77047
BUTTS,BCAB,2.049113,2.973466,3.535846,22.60099,73.86316,26.13684
CALHOUN,1,3.993513,2.150792,5.068909,41.74757,53.18352,46.81648
CALHOUN,2,2.927511,2.527784,4.191404,22.09302,73.71557,26.28443
CALHOUN,3,1.894022,0.880776,2.334411,74.80916,22.85643,77.14357
CALHOUN,4,3.17593,2.030877,4.191368,56.17978,39.62886,60.37114
CALHOUN,5,3.455566,0.953034,3.932082,59.1954,36.87252,63.12748
CAMDEN,1,1.410015,3.370493,3.095261,21.18959,75.71515,24.28485
CAMDEN,2,1.723165,3.449801,3.448066,17.78169,78.77024,21.22976
CAMDEN,3,2.205577,3.628875,4.020014,34.54545,61.43453,38.56547
CAMDEN,4,0.173149,2.798228,1.572264,10.22222,88.20551,11.79449
CAMDEN,5,0.234532,3.109062,1.789063,20.58414,77.62679,22.37321
CAMDEN,6,0.860666,2.991365,2.356348,22.93658,74.70707,25.29293
CAMDEN,7,2.229778,3.400734,3.930145,46.00457,50.06529,49.93471
CAMDEN,8,1.395374,3.569223,3.179986,33.6,63.22001,36.77999
CAMDEN,9,1.145812,3.499684,2.895654,30.88608,66.21827,33.78173
CAMDEN,10,1.542899,3.590011,3.337904,38.06706,58.59503,41.40497
CAMDEN,11,1.298854,3.634385,3.116047,36.59193,60.29202,39.70798
CAMDEN,12,0.732748,3.558224,2.51186,28.10384,69.3843,30.6157
CAMDEN,13,0.761731,3.357358,2.44041,27.72809,69.8315,30.1685
CAMDEN,14,0.236374,3.104552,1.78865,21.56863,76.64272,23.35728
CANDLER,CAND,1.97832,2.928376,3.442508,23.1469,73.41059,26.58941
CARROLL,501,1.852758,3.563171,3.634344,36.17963,60.18602,39.81398
CARROLL,640,0.764104,2.411502,1.969855,17.46032,80.56983,19.43017
CARROLL,641,1.240512,3.459053,2.970039,26.16683,70.86313,29.13687
CARROLL,642,2.166922,3.63,3.981922,47.47716,48.54092,51.45908
CARROLL,649,0.710532,2.768501,2.094782,16.36117,81.54405,18.45595
CARROLL,650,1.506161,3.39744,3.204881,33.41667,63.37845,36.62155
CARROLL,682,0.20638,2.396231,1.404496,14.15385,84.44166,15.55834
CARROLL,713,0.382177,2.16635,1.465352,11.50519,87.02946,12.97054
CARROLL,715,0.776978,2.684397,2.119176,21.36895,76.51188,23.48812
CARROLL,1006,0,1.685082,0.842541,8.273381,90.88408,9.115923
CARROLL,1111,1.347697,3.086657,2.891025,23.48754,73.62143,26.37857
CARROLL,1122,1.312322,3.09267,2.858657,24.25482,72.88652,27.11348
CARROLL,1152,0,1.810576,0.905288,9.925926,89.16879,10.83121
CARROLL,1240,0.272914,2.222973,1.384401,14.8771,83.7385,16.2615
CARROLL,1371,0.439355,2.433939,1.656324,16.96035,81.38332,18.61668
CARROLL,1483,0.71713,2.797923,2.116092,18.26241,79.6215,20.3785
CARROLL,1496,1.471724,2.598808,2.771127,20.79208,76.43679,23.56321
CARROLL,1533,0.462841,2.11291,1.519296,13.43805,85.04266,14.95734
CARROLL,1540,0.69936,3.292665,2.345692,24.11296,73.54135,26.45865
CARROLL,1542,0.536293,2.580529,1.826558,14.67991,83.49353,16.50647
CARROLL,714A1,2.046803,3.398661,3.746133,59.14958,37.10428,62.89572
CARROLL,714A2,1.718088,3.624233,3.530205,40.79148,55.67832,44.32168
CARROLL,714A3,1.813867,3.409584,3.518659,39.31464,57.1667,42.8333
CARROLL,714A4,2.444379,3.054768,3.971764,35.09934,60.9289,39.0711
CARROLL,714A5,1.173352,3.480814,2.913759,38.96797,58.11827,41.88173
CARROLL,714A6,1.393124,3.010898,2.898573,31.39013,65.71129,34.28871
CARROLL,714BN,1.792643,3.474076,3.529681,29.66667,66.80365,33.19635
CARROLL,714BW,0.683874,3.046077,2.206912,22.04641,75.74667,24.25333
CATOOSA,BLCK,0,2.088523,1.044262,15.66618,83.28956,16.71044
CATOOSA,BOYN,0,2.326432,1.163216,18.49082,80.34596,19.65404
CATOOSA,CAKT,0,2.052792,1.026396,16.61692,82.35669,17.64331
CATOOSA,CHAM,0,2.15925,1.079625,13.92308,84.9973,15.0027
CATOOSA,FT O,0.073464,2.775985,1.461456,22.30437,76.23417,23.76583
CATOOSA,GRAY,0,2.433135,1.216567,16.77083,82.0126,17.9874
CATOOSA,LAKE,0.06335,2.444522,1.285611,18.97866,79.73573,20.26427
CATOOSA,POPS,0,2.547993,1.273997,16.06872,82.65728,17.34272
CATOOSA,RING,0.00264,2.497839,1.251559,19.83673,78.91171,21.08829
CATOOSA,WEST,0.018214,2.546968,1.291698,20.20587,78.50243,21.49757
CATOOSA,WOOD,0,2.484904,1.242452,13.91174,84.84581,15.15419
CHARLTON,2,3.286495,3.272493,4.922741,46.41256,48.6647,51.3353
CHARLTON,3B,0,1.295096,0.647548,16.66667,82.68579,17.31421
CHARLTON,3S,0,0.833833,0.416916,4.411765,95.17132,4.828681
CHARLTON,4A,0,1.135246,0.567623,6.61157,92.82081,7.179193
CHARLTON,4H,0.502661,1.057189,1.031255,9.295775,89.67297,10.32703
CHARLTON,5F,0.052153,0.912962,0.508634,9.090909,90.40046,9.599543
CHARLTON,5R,0,0.657747,0.328874,11.30435,88.36678,11.63322
CHARLTON,5W,0,1.21727,0.608635,4.301075,95.09029,4.90971
CHATHAM,1-01C,0.054618,2.976527,1.542881,63.06391,35.39321,64.60679
CHATHAM,1-05C,0.280144,2.952189,1.756239,62.34375,35.90001,64.09999
CHATHAM,1-06C,0.354886,3.555038,2.132405,45.73503,52.13257,47.86743
CHATHAM,1-08C,0.936917,3.621133,2.747484,53.18182,44.0707,55.9293
CHATHAM,1-09C,1.477903,3.164608,3.060208,61.43791,35.50188,64.49812
CHATHAM,1-10C,0,3.508253,1.754126,36.2963,61.94958,38.05042
CHATHAM,1-12C,0.031424,3.393344,1.728096,33.57401,64.6979,35.3021
CHATHAM,1-13C,1.275148,3.633649,3.091973,37.30159,59.60644,40.39356
CHATHAM,1-14C,0.909526,3.610308,2.71468,35.34972,61.9356,38.0644
CHATHAM,1-16C,0.796015,3.264234,2.428132,24.29907,73.2728,26.7272
CHATHAM,1-17C,0.163837,3.410701,1.869188,24.27093,73.85988,26.14012
CHATHAM,2-02C,1.110162,2.157155,2.188739,75.73964,22.07162,77.92838
CHATHAM,2-03C,0.446943,1.265829,1.079858,83.83838,15.08176,84.91824
CHATHAM,2-04C,0,0.637713,0.318857,93.4375,6.243643,93.75636
CHATHAM,2-05C,0.136331,0.670051,0.471357,89.59108,9.937565,90.06243
CHATHAM,2-06C,0.654691,2.167142,1.738262,83.45324,14.8085,85.1915
CHATHAM,2-07C,0.294704,1.593446,1.091427,87.6947,11.21387,88.78613
CHATHAM,2-09C,0.277221,1.025019,0.789731,87.88628,11.32399,88.67601
